time,status,face_found,lm106,calib,ear,left,right,ear_base,ear_th,mar,mar_base,mar_th,head,head_base,eye,yawn,head_down,feature_ms
1787468691.415,NORMAL,1,1,1,0.3570,0.3330,0.3370,0.4040,0.2630,0.4060,0.4680,0.8420,0.0000,0.4790,0,0,0,0.019
1787468691.691,NORMAL,1,1,1,0.3570,0.3330,0.3370,0.4040,0.2630,0.4060,0.4680,0.8420,0.0000,0.4790,0,0,0,0.019
1787468691.980,NORMAL,1,1,1,0.4010,0.5170,0.3330,0.4040,0.2630,0.4180,0.4680,0.8420,0.0000,0.4790,0,0,0,0.023
1787468692.262,NORMAL,1,1,1,0.4110,0.4840,0.3330,0.4040,0.2630,0.4140,0.4680,0.8420,0.0000,0.4790,0,0,0,0.022
1787468692.554,NORMAL,1,1,1,0.4260,0.5170,0.3500,0.4040,0.2630,0.4180,0.4680,0.8420,0.0000,0.4790,0,0,0,0.021
1787468692.833,NORMAL,1,1,1,0.4260,0.5170,0.3500,0.4040,0.2630,0.4180,0.4680,0.8420,0.0000,0.4790,0,0,0,0.021
1787468693.127,NORMAL,1,1,1,0.5680,1.0000,0.2890,0.4040,0.2630,0.4910,0.4680,0.8420,0.0000,0.4790,0,0,0,0.021
1787468693.410,NORMAL,1,1,1,0.4820,0.5620,0.3100,0.4040,0.2630,0.4650,0.4680,0.8420,0.0000,0.4790,0,0,0,0.028
1787468693.702,NORMAL,1,1,1,0.4330,0.5650,0.3100,0.4040,0.2630,0.4610,0.4680,0.8420,0.0000,0.4790,0,0,0,0.021
1787468693.983,NORMAL,1,1,1,0.4520,0.6140,0.3100,0.4040,0.2630,0.4820,0.4680,0.8420,0.0000,0.4790,0,0,0,0.024
1787468694.275,NORMAL,1,1,1,0.4520,0.6140,0.3100,0.4040,0.2630,0.4820,0.4680,0.8420,0.0000,0.4790,0,0,0,0.024
1787468694.562,NORMAL,1,1,1,0.4280,0.6190,0.3100,0.4040,0.2630,0.4630,0.4680,0.8420,0.0000,0.4790,0,0,0,0.022
1787468694.842,NORMAL,1,1,1,0.4700,0.6750,0.3100,0.4040,0.2630,0.4790,0.4680,0.8420,0.0000,0.4790,0,0,0,0.026
1787468695.124,NORMAL,1,1,1,0.4600,0.5870,0.3240,0.4040,0.2630,0.4800,0.4680,0.8420,0.0000,0.4790,0,0,0,0.021
1787468695.404,NORMAL,1,1,1,0.4600,0.5870,0.3240,0.4040,0.2630,0.4800,0.4680,0.8420,0.0000,0.4790,0,0,0,0.021
1787468695.680,NORMAL,1,1,1,0.3430,0.3370,0.3400,0.4040,0.2630,0.4190,0.4680,0.8420,0.0000,0.4790,0,0,0,0.021
1787468695.959,NORMAL,1,1,1,0.3670,0.3080,0.4500,0.4040,0.2630,0.4120,0.4680,0.8420,0.0000,0.4790,0,0,0,0.025
1787468696.243,NORMAL,1,1,1,0.3160,0.2830,0.2950,0.4040,0.2630,0.4200,0.4680,0.8420,0.0000,0.4790,0,0,0,0.021
1787468696.533,NORMAL,1,1,1,0.3240,0.3160,0.3400,0.4040,0.2630,0.4160,0.4680,0.8420,0.0000,0.4790,0,0,0,0.024
1787468696.810,NORMAL,1,1,1,0.3240,0.3160,0.3400,0.4040,0.2630,0.4160,0.4680,0.8420,0.0000,0.4790,0,0,0,0.024
1787468697.088,NORMAL,1,1,1,0.3690,0.3020,0.4190,0.4040,0.2630,0.4270,0.4680,0.8420,0.0000,0.4790,0,0,0,0.020
1787468697.352,NORMAL,1,1,1,0.4240,0.5830,0.3250,0.4040,0.2630,0.4500,0.4680,0.8420,0.0000,0.4790,0,0,0,0.022
1787468697.625,NORMAL,1,1,1,0.3970,0.3140,0.4520,0.4040,0.2630,0.4380,0.4680,0.8420,0.0000,0.4790,0,0,0,0.021
1787468697.910,NORMAL,1,1,1,0.3970,0.3140,0.4520,0.4040,0.2630,0.4380,0.4680,0.8420,0.0000,0.4790,0,0,0,0.021
1787468698.199,NORMAL,1,1,1,0.3560,0.3370,0.3300,0.4040,0.2630,0.4380,0.4680,0.8420,0.0000,0.4790,0,0,0,0.025
1787468698.478,NORMAL,1,1,1,0.3270,0.3100,0.3140,0.4040,0.2630,0.4380,0.4680,0.8420,0.0000,0.4790,0,0,0,0.021
1787468698.749,NORMAL,1,1,1,0.3560,0.3020,0.4400,0.4040,0.2630,0.4290,0.4680,0.8420,0.0000,0.4790,0,0,0,0.021
1787468699.041,NORMAL,1,1,1,0.3690,0.2970,0.4510,0.4040,0.2630,0.4430,0.4680,0.8420,0.0000,0.4790,0,0,0,0.028
1787468699.318,NORMAL,1,1,1,0.3690,0.2970,0.4510,0.4040,0.2630,0.4430,0.4680,0.8420,0.0000,0.4790,0,0,0,0.028
1787468699.615,NORMAL,1,1,1,0.3230,0.2930,0.3030,0.4040,0.2630,0.4440,0.4680,0.8420,0.0000,0.4790,0,0,0,0.022
1787468699.903,NORMAL,1,1,1,0.2120,0.0000,0.3030,0.4040,0.2630,0.5710,0.4680,0.8420,0.0000,0.4790,0,0,0,0.020
1787468700.175,NORMAL,1,1,1,0.3180,0.3020,0.4500,0.4040,0.2630,0.4750,0.4680,0.8420,0.0000,0.4790,0,0,0,0.030
1787468700.462,NORMAL,1,1,1,0.3540,0.2970,0.4510,0.4040,0.2630,0.4430,0.4680,0.8420,0.0000,0.4790,0,0,0,0.024
1787468700.742,NORMAL,1,1,1,0.3870,0.3100,0.5000,0.4040,0.2630,0.4300,0.4680,0.8420,0.0000,0.4790,0,0,0,0.024
1787468701.015,NORMAL,1,1,1,0.3880,0.3020,0.4740,0.4040,0.2630,0.4260,0.4680,0.8420,0.0000,0.4790,0,0,0,0.021
1787468701.293,NORMAL,1,1,1,0.3980,0.3100,0.4860,0.4040,0.2630,0.4260,0.4680,0.8420,0.0000,0.4790,0,0,0,0.027
1787468701.575,NORMAL,1,1,1,0.3980,0.3100,0.4860,0.4040,0.2630,0.4260,0.4680,0.8420,0.0000,0.4790,0,0,0,0.027
1787468701.852,NORMAL,1,1,1,0.3310,0.2880,0.3030,0.4040,0.2630,0.4350,0.4680,0.8420,0.0000,0.4790,0,0,0,0.021
1787468702.140,NORMAL,1,1,1,0.3600,0.4270,0.3250,0.4040,0.2630,0.4160,0.4680,0.8420,0.0000,0.4790,0,0,0,0.022
1787468702.428,NORMAL,1,1,1,0.3860,0.4860,0.3140,0.4040,0.2630,0.4210,0.4680,0.8420,0.0000,0.4790,0,0,0,0.026
1787468702.718,NORMAL,1,1,1,0.3390,0.3060,0.3200,0.4040,0.2630,0.4320,0.4680,0.8420,0.0000,0.4790,0,0,0,0.022
