time,status,face_found,lm106,calib,ear,left,right,ear_base,ear_th,mar,mar_base,mar_th,head,head_base,eye,yawn,head_down,feature_ms
1787467573.455,NO_FACE,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.004
1787467574.927,NO_FACE,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.004
1787467575.209,NO_FACE,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.004
1787467575.484,NO_FACE,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.004
1787467575.768,NO_FACE,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.005
1787467576.047,NO_FACE,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.007
1787467576.322,NO_FACE,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.002
1787467576.606,NO_FACE,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.004
1787467576.886,NO_FACE,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.003
1787467577.163,NO_FACE,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.004
1787467577.433,NO_FACE,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.004
1787467577.713,NO_FACE,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.007
1787467577.994,NO_FACE,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.005
1787467578.269,NO_FACE,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.003
1787467578.553,NO_FACE,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.002
1787467578.832,NO_FACE,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.006
1787467579.114,NO_FACE,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.004
1787467579.395,NO_FACE,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.004
1787467579.670,NO_FACE,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.003
1787467579.940,NO_FACE,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.007
1787467580.209,NO_FACE,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.003
1787467580.477,NO_FACE,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.005
1787467580.754,NO_FACE,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.008
1787467581.035,NO_FACE,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.006
1787467581.299,NO_FACE,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0.006
1787467581.569,FACE,1,1,0,0.2130,0.2430,0.1840,0.0000,0.0000,0.3700,0.0000,0.4500,1.0000,0.0000,0,0,0,0.023
1787467582.037,FACE,1,1,0,0.2360,0.2740,0.2550,0.0000,0.0000,0.3680,0.0000,0.4500,1.0000,0.0000,0,0,0,0.019
1787467582.323,FACE,1,1,0,0.2470,0.2550,0.2640,0.0000,0.0000,0.3710,0.0000,0.4500,1.0000,0.0000,0,0,0,0.020
1787467582.620,FACE,1,1,0,0.2410,0.2450,0.2240,0.0000,0.0000,0.3760,0.0000,0.4500,1.0000,0.0000,0,0,0,0.019
1787467582.893,FACE,1,1,0,0.2620,0.2740,0.2730,0.0000,0.0000,0.3830,0.0000,0.4500,1.0000,0.0000,0,0,0,0.021
1787467583.174,FACE,1,1,0,0.2690,0.2840,0.2690,0.0000,0.0000,0.3800,0.0000,0.4500,1.0000,0.0000,0,0,0,0.025
1787467583.458,FACE,1,1,0,0.2690,0.2840,0.2690,0.0000,0.0000,0.3800,0.0000,0.4500,1.0000,0.0000,0,0,0,0.025
1787467583.738,NORMAL,1,1,1,0.2900,0.3570,0.2740,0.2630,0.1710,0.3840,0.3790,0.6830,0.0000,0.4440,0,0,0,0.548
1787467584.202,NORMAL,1,1,1,0.2680,0.2640,0.2410,0.2630,0.1710,0.3790,0.3790,0.6830,0.0610,0.4440,0,0,0,0.020
1787467584.480,NORMAL,1,1,1,0.2680,0.2640,0.2410,0.2630,0.1710,0.3790,0.3790,0.6830,0.0610,0.4440,0,0,0,0.020
1787467584.766,NORMAL,1,1,1,0.2600,0.2450,0.2540,0.2630,0.1710,0.3970,0.3790,0.6830,0.0000,0.4440,0,0,0,0.027
1787467585.050,NORMAL,1,1,1,0.2560,0.2650,0.2370,0.2630,0.1710,0.4050,0.3790,0.6830,0.0000,0.4440,0,0,0,0.021
1787467585.331,NORMAL,1,1,1,0.2710,0.3100,0.2700,0.2630,0.1710,0.4090,0.3790,0.6830,0.0690,0.4440,0,0,0,0.024
1787467585.611,NORMAL,1,1,1,0.2880,0.3300,0.2870,0.2630,0.1710,0.4140,0.3790,0.6830,0.0000,0.4440,0,0,0,0.022
1787467585.893,NORMAL,1,1,1,0.2970,0.3460,0.2690,0.2630,0.1710,0.4230,0.3790,0.6830,0.0000,0.4440,0,0,0,0.025
1787467586.174,NORMAL,1,1,1,0.3860,0.6900,0.2980,0.2630,0.1710,0.4270,0.3790,0.6830,0.0000,0.4440,0,0,0,0.025
1787467586.449,NORMAL,1,1,1,0.2880,0.1980,0.1390,0.2630,0.1710,0.3360,0.3790,0.6830,0.4140,0.4440,0,0,0,0.022
1787467586.730,NORMAL,1,1,1,0.2660,0.2530,0.2240,0.2630,0.1710,0.3380,0.3790,0.6830,0.3690,0.4440,0,0,0,0.024
1787467587.012,NORMAL,1,1,1,0.2720,0.2880,0.2690,0.2630,0.1710,0.3230,0.3790,0.6830,0.2320,0.4440,0,0,0,0.063
1787467587.309,NORMAL,1,1,1,0.2530,0.2460,0.2120,0.2630,0.1710,0.3160,0.3790,0.6830,0.1440,0.4440,0,0,0,0.024
